,SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
381,53504,CROP ORGANIC CUCUMBER VODKA,0,,23.99,4,289,26,,,0,1,0,0,,CROP ORGANIC CUCUMBER VODKA
382,53517,BLACK LEAF VODKA,0,,29.99,5,290,26,,7,0,1,0,0,,BLACK LEAF VODKA 750 ML
383,53518,POLISH AK-47 (RIFLE)  VODKA ,0,,149.99,1,290,26,,8,0,1,0,0,,POLISH AK-47 (RIFLE)  VODKA  1 LT
384,53520,360 DOUBLE CHOCOLATE VODKA,0,,16.99,0,289,26,,7,0,1,0,0,,360 DOUBLE CHOCOLATE VODKA 750 ML
385,53521,FEGLEY'S BREW HOP'SOLUT12OZCS,6,,3.5,0,607,21,1,15,0,1,0,2,90436,FEGLEY'S BREW HOP'SOLUT12OZCS 12 OZ SINGLE
386,53522,FEGLEY BREW HOP EXPLOSION,6,,3.0,0,607,21,1,15,0,1,0,2,82863,FEGLEY BREW HOP EXPLOSION 12 OZ SINGLE
387,53524,DAILY'S PINA COLADA POUCH,0,,1.99,23,284,24,,,0,1,0,0,,DAILY'S PINA COLADA POUCH
388,53525,SKINNY WATERMELON FREEZER POP,0,,2.99,15,284,24,,,0,1,0,0,,SKINNY WATERMELON FREEZER POP
389,53526,SKINNY LEMON DROP FREEZER POP,0,,2.99,6,284,24,,,0,1,0,0,,SKINNY LEMON DROP FREEZER POP
390,53529,DAILYS LIGHT MANGO PASS POUCH,0,,1.99,2,284,24,,,0,1,0,0,,DAILYS LIGHT MANGO PASS POUCH
391,53530,DAILYS LIGHT MARGARITA POUCH,0,,1.99,3,284,24,,,0,1,0,0,,DAILYS LIGHT MARGARITA POUCH
392,53537,DAILYS MARGARITA 2.0L POUCH,0,,12.99,13,284,24,,,0,1,0,0,,DAILYS MARGARITA 2.0L POUCH
393,53548,HEARTLAND SPICE TRAD SHIRA/CAB,0,,13.99,22,371,33,,7,0,1,0,0,,HEARTLAND SPICE TRAD SHIRA/CAB 750 ML RP90
394,53552,ATOMIC RED WHISKY ,0,,15.99,10,172,11,,7,0,1,0,0,,ATOMIC RED WHISKY  750 ML
395,53566,CASARENA RES MALBEC 2012,0,,17.99,0,386,57,,7,0,1,1,0,,CASARENA RES MALBEC 2012 750 ML
396,53571,5 STAR BRANDY COBRA ,0,,39.99,5,272,20,,5,0,1,0,0,,5 STAR BRANDY COBRA  375 ML
397,53575,5 STAR BRANDY LADY SHOE,0,,29.99,3,272,20,,5,0,1,0,0,,5 STAR BRANDY LADY SHOE 375 ML
398,53584,FLASHING BULBS SINGLE,0,,2.49,12,429,46,,,0,1,0,0,,FLASHING BULBS SINGLE
399,53588,LEONARDINI FAMILY  OLIVE OIL,0,,6.99,-3,432,46,,,0,1,0,0,,LEONARDINI FAMILY  OLIVE OIL
400,53589,MONKEY JOE HOLIDAY BAG 8.0Z,0,,4.99,5,430,46,,,0,1,0,0,,MONKEY JOE HOLIDAY BAG 8.0Z
401,53590,STOLZLE BORDEAUX GLASSES,0,,10.99,5,429,46,,,0,1,0,0,,STOLZLE BORDEAUX GLASSES
402,53594,WYNDRIDGE LAUGHING CROW CASE,6,,40.99,1,607,21,8,,0,1,0,0,73594,WYNDRIDGE LAUGHING CROW CASE 24-PACK
403,53595,WYNDRIDGE LAUGHING CROW CASE,6,,10.99,1,607,21,3,,0,1,0,1,73594,WYNDRIDGE LAUGHING CROW CASE 6-PACK
404,53600,OMMEGANG SCYTHE & SICKLE CS,6,,65.99,0,607,21,8,,0,1,0,0,73600,OMMEGANG SCYTHE & SICKLE CS 24-PACK
405,53601,OMMEGANG SCYTHE & SICKLE 4PK,6,,11.99,-1,607,21,2,,0,1,0,1,73600,OMMEGANG SCYTHE & SICKLE 4PK 4-PACK
406,53602,FICKLIN BLACK CHERRY  PORT ,0,,16.99,7,326,30,,6,0,1,0,0,,FICKLIN BLACK CHERRY  PORT  500 ML
407,53617,TOSTITOS CREAMY SPINACH DIP,0,,3.29,0,430,46,,,0,1,0,0,,TOSTITOS CREAMY SPINACH DIP
408,53618,CASINO AZUL ,0,,179.99,1,288,25,,7,0,1,0,0,,CASINO AZUL  750 ML
409,53622,TWO ROADS RYE 95  SNG,6,,2.5,0,607,21,1,,0,1,0,2,82179,TWO ROADS RYE 95  SNG SINGLE
410,53630,HIDALGO WELLINGTON SHERRY,0,,49.99,4,380,34,,7,0,1,0,0,,HIDALGO WELLINGTON SHERRY 750 ML
411,53648,PARDAS NEGRE FRANC 2009,0,,19.99,4,376,34,,7,0,1,0,0,,PARDAS NEGRE FRANC 2009 750 ML RP90
412,53654,SIERRA CANTABRIA GRAN RES '04,0,,32.99,3,376,34,,,0,1,0,0,,SIERRA CANTABRIA GRAN RES '04
413,53659,FONSECA 20 YR TAWNY,0,,49.99,0,581,37,,,0,1,0,0,,FONSECA 20 YR TAWNY
414,53682,MALTMAN BEN NEVIS 17YR OLD,0,,134.99,0,149,10,,7,0,1,0,0,,MALTMAN BEN NEVIS 17YR OLD 750 ML
415,53685,MALTMAN MORTLACH 15YR OLD,0,,109.99,1,149,10,,7,0,1,0,0,,MALTMAN MORTLACH 15YR OLD 750 ML
416,53686,MALTMAN LEDAIG 8YR,0,,104.99,2,149,10,,7,0,1,0,0,,MALTMAN LEDAIG 8YR 750 ML
417,53687,MCCRAY BASEBALL EDIT 15YR OLD,0,,39.99,1,266,10,,7,0,1,0,0,,MCCRAY BASEBALL EDIT 15YR OLD 750 ML
418,53688,SILVER SEAL 8YR SPEYSIDE,0,,31.99,0,149,10,,7,0,1,0,0,,SILVER SEAL 8YR SPEYSIDE 750 ML
419,53690,CJT BLANC DE BLANC,0,,14.99,12,301,28,,7,0,1,0,0,,CJT BLANC DE BLANC 750 ML
420,53706,FREIXENET ICE CUVEE,0,,15.99,32,298,28,,7,0,1,0,0,,FREIXENET ICE CUVEE 750 ML
421,53708,ARMAND DE BRIGNAC BRUT ROSE,0,,549.99,1,297,28,,7,0,1,0,0,,ARMAND DE BRIGNAC BRUT ROSE 750 ML
422,53713,FIDENCIO UNICO MEZCAL,0,,36.99,7,287,25,,7,0,1,0,0,,FIDENCIO UNICO MEZCAL 750 ML
423,53715,CORKS WINE BAGS,0,,1.99,2,429,46,,,0,1,0,0,,CORKS WINE BAGS
