,item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift,SKU_x,costA,marginA,quantityA,groupA,costA_L,marginA_L,quantityA_L,SKU_y,costB,marginB,quantityB,groupB,costB_L,marginB_L,quantityB_L,MONTH
0,71244,70534,10,0.338409475465313,12,0.40609137055837563,13,0.4399323181049069,0.8333333333333334,0.7692307692307693,1.8942307692307694,71244,13.5,0.09939959973315547,29.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,70534,7.0,0.12390488110137672,22.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
1,71501,68916,3,0.10152284263959391,14,0.47377326565143824,4,0.1353637901861252,0.21428571428571427,0.75,1.5830357142857143,71501,7.6999999999999975,0.1066151241496673,29.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,68916,17.0,0.10479199578725636,46.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
2,71501,71320,4,0.1353637901861252,14,0.47377326565143824,21,0.7106598984771574,0.2857142857142857,0.19047619047619047,0.4020408163265306,71501,7.6999999999999975,0.1066151241496673,29.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71320,0.8283333333333326,0.2926799038199351,87.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
3,71394,71320,8,0.2707275803722504,97,3.282571912013536,21,0.7106598984771574,0.08247422680412371,0.38095238095238093,0.11605301914580264,71394,0.759999999999999,0.22832421918918064,746.0,5,0.759999999999999,0.22832421918918064,746.0,71320,0.8283333333333326,0.2926799038199351,87.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
4,66185,70700,3,0.10152284263959391,8,0.2707275803722504,8,0.2707275803722504,0.375,0.375,1.3851562499999999,66185,7.329999999999999,0.0826032540675845,44.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,70700,16.089999999999993,0.10561423012784876,24.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
5,71524,71148,13,0.4399323181049069,16,0.5414551607445008,18,0.6091370558375634,0.8125,0.7222222222222222,1.3338541666666666,71524,1.0763636363636366,0.4560077926912098,33.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71148,4.49,0.2861685214626392,20.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
6,71470,71185,4,0.1353637901861252,6,0.20304568527918782,15,0.5076142131979695,0.6666666666666666,0.26666666666666666,1.3133333333333335,71470,19.09,0.045022511255627735,16.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,71185,24.205882352941174,0.06864631192992776,37.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
7,71570,70347,3,0.10152284263959391,13,0.4399323181049069,6,0.20304568527918782,0.23076923076923078,0.5,1.1365384615384615,71570,17.09000000000001,0.05002779321845456,58.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,70347,17.09,0.050027793218454616,20.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
8,71080,71464,8,0.2707275803722504,17,0.5752961082910322,13,0.4399323181049069,0.47058823529411764,0.6153846153846154,1.069683257918552,71080,2.25,0.2441347241735154,49.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,71464,2.04,0.311799300984257,60.0,4,11.25222447615501,0.14586016670115273,70.71818181818182,1
9,71457,70637,4,0.1353637901861252,9,0.3045685279187817,13,0.4399323181049069,0.4444444444444445,0.3076923076923077,1.0102564102564104,71457,7.19,0.10012515644555696,24.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,70637,7.189999999999999,0.10012515644555688,38.0,8,9.66398188563098,0.16839388798267046,24.45486725663717,1
