SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
58144,WOODFORD RES BOURB BALLS 2OZ,0,,6.99,5,430,46,,,0,1,0,0,,WOODFORD RES BOURB BALLS 2OZ
58145,CHALKBOARD X-MAS WINE BAG,0,,2.29,1,429,46,,,0,1,0,0,,CHALKBOARD X-MAS WINE BAG
58146,LONG TRAIL SUMMER NR,6,,33.99,2,607,21,8,15,0,1,0,0,78146,LONG TRAIL SUMMER NR 12 OZ 24-PACK
58148,YOUNGS DOUBLE CHOC 12OZ NR SNG,6,,2.45,0,277,21,1,15,0,1,0,2,83546,YOUNGS DOUBLE CHOC 12OZ NR SNG 12 OZ SINGLE
58149,LA TRAPPE QUAD TRAPIST 11.2OZ,0,,4.99,-1,433,21,,,0,1,0,0,,LA TRAPPE QUAD TRAPIST 11.2OZ
58150,POWELL MAHONEY MANGO PASS ,0,,5.99,6,422,43,,7,0,1,0,0,,POWELL MAHONEY MANGO PASS  750 ML
58151,BALLAST POINT GRUNION CAN CS,6,,2.5,0,607,21,1,,0,1,0,2,82477,BALLAST POINT GRUNION CAN CS SINGLE
58152,CENTRAL WATERS STOUT 12OZ SNG,6,,5,0,607,21,1,15,0,1,0,2,89733,CENTRAL WATERS STOUT 12OZ SNG 12 OZ SINGLE
58153,NESHAMINY HIGHWATER HEFE CASE,6,,2.5,0,607,21,1,,0,1,0,2,81047,NESHAMINY HIGHWATER HEFE CASE SINGLE
58154,NESHAMINY CREEK CROYDON CAN CS,6,,2.5,0,607,21,1,,0,1,0,2,81674,NESHAMINY CREEK CROYDON CAN CS SINGLE
58156,MACALLAN 30YR FINE OAK ,0,,2799.99,1,149,10,,7,0,1,0,0,,MACALLAN 30YR FINE OAK  750 ML
58157,MACALLAN V6 REFLECTION ,0,,4799.99,1,149,10,,7,0,1,0,0,,MACALLAN V6 REFLECTION  750 ML
58159,MACALLAN M DECANTER,0,,5799.99,1,149,10,,7,0,1,0,0,,MACALLAN M DECANTER 750 ML
58165,WOODFORD RES SASSAFRAS BITTER,0,,9.99,3,422,43,,,0,1,0,0,,WOODFORD RES SASSAFRAS BITTER
58166,FOUNDERS REDANKULOUS NR 4PK CS,6,,68.99,0,607,21,8,,0,1,0,0,78166,FOUNDERS REDANKULOUS NR 4PK CS 24-PACK
58167,FOUNDERS REDANKULOUS NR 4PK,6,,11.99,2,607,21,2,,0,1,0,1,78166,FOUNDERS REDANKULOUS NR 4PK 4-PACK
58168,STANDOUT RED 2012,0,,17.99,25,319,30,,7,0,1,0,0,,STANDOUT RED 2012 750 ML
58169,BIG LEAGUE GUM,0,,1.99,18,432,46,,,0,1,0,0,,BIG LEAGUE GUM
58172,ESPERANCE BAS-ARMAGNAC 5YR,0,,51.99,1,269,20,,7,0,1,0,0,,ESPERANCE BAS-ARMAGNAC 5YR 750 ML
58173,WHIPLASH RED BLEND,0,,10.99,10,319,30,,7,0,1,0,0,,WHIPLASH RED BLEND 750 ML
58177,SILVER SEAL 16YR HIGHLAND,0,,51.99,4,149,10,,7,0,1,0,0,,SILVER SEAL 16YR HIGHLAND 750 ML
58183,HO HO OH NO GIFT BAG,0,,1.99,2,432,46,,,0,1,0,0,,HO HO OH NO GIFT BAG
58186,GOLDEN TREES 2BTL GIFT BAG,0,,2.99,31,429,46,,,0,1,0,0,,GOLDEN TREES 2BTL GIFT BAG
58188,BALLAST POINT OPAH ,0,,31.99,0,291,27,,7,0,1,0,0,,BALLAST POINT OPAH  750 ML
58190,TRANSMITTER SY1 SAISON  750,0,,14.99,10,607,21,,7,0,1,0,0,,TRANSMITTER SY1 SAISON  750 750 ML
58193,OMMEGANG RARE VOS ,6,,59.99,5,607,21,8,,0,1,0,0,78193,OMMEGANG RARE VOS  24-PACK
58194,OMMEGANG RARE VOS ,6,,10.99,-26,607,21,3,,0,1,0,1,78193,OMMEGANG RARE VOS  6-PACK
58195,GREEN FLASH TANG SOUL IPA CASE,6,,38.99,0,607,21,8,,0,1,0,0,78195,GREEN FLASH TANG SOUL IPA CASE 24-PACK
58196,GREEN FLASH TANG SOUL IPA 6PK,6,,9.99,0,607,21,3,,0,1,0,1,78195,GREEN FLASH TANG SOUL IPA 6PK 6-PACK
58201,POLAR BEAR WINE BAG,0,,2.29,-2,429,46,,,0,1,0,0,,POLAR BEAR WINE BAG
58202,ASSORTED PLAID  GIFT BAG,0,,1.99,-1,429,46,,,0,1,0,0,,ASSORTED PLAID  GIFT BAG
58203,FROSTY FOREST BAGS,0,,1.99,23,429,46,,,0,1,0,0,,FROSTY FOREST BAGS
58204,PEWTER WINE GLASS CHARMS,0,,5.99,14,429,46,,,0,1,0,0,,PEWTER WINE GLASS CHARMS
58205,DAILYS BANANA MIX,0,,3.99,0,422,43,,8,0,1,0,0,,DAILYS BANANA MIX 1 LT
58206,TRENDY TREES WINE BAG,0,,1.99,2,429,46,,,0,1,0,0,,TRENDY TREES WINE BAG
58207,EINBECKER NA CASE,0,,44.99,-1,277,21,,,0,1,0,0,,EINBECKER NA CASE
58211,STRAFFE HENDRIK HERITAGE '14,0,,24.99,2,433,21,,7,0,1,0,0,,STRAFFE HENDRIK HERITAGE '14 750 ML
58212,BLAIR'S DEATH HOT SAUCE 4PK,0,,12.99,-1,432,46,2,,0,1,0,0,,BLAIR'S DEATH HOT SAUCE 4PK 4-PACK
58213,HO HO HO GIFT BAG,0,,2.99,2,429,46,,,0,1,0,0,,HO HO HO GIFT BAG
58215,VARNER HOME BLOCK CHARDONNAY 2,0,,47.99,0,320,30,,7,0,1,1,0,,VARNER HOME BLOCK CHARDONNAY 2 750 ML
58216,THISTLE FINCH WHITE RYE ,0,,34.99,1,262,18,,7,0,1,0,0,,THISTLE FINCH WHITE RYE  750 ML
58221,CLOWN SHOES ANGRY BEAST 22OZ,0,,13.99,-4,607,21,,20,0,1,0,0,,CLOWN SHOES ANGRY BEAST 22OZ 22 OZ
58223,CASINO AZUL ANEJO ,0,,46.99,3,547,25,,7,0,1,0,0,,CASINO AZUL ANEJO  750 ML
