,item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift,SKU_x,costA,marginA,quantityA,groupA,costA_L,marginA_L,quantityA_L,SKU_y,costB,marginB,quantityB,groupB,costB_L,marginB_L,quantityB_L,MONTH
0,68997,73249,7,0.21354484441732766,14,0.4270896888346553,9,0.2745576571079927,0.5,0.7777777777777778,1.8211111111111111,68997,0.67,0.3196324951644101,86.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,73249,0.67,0.3232323232323233,44.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
1,68997,65053,4,0.12202562538133008,14,0.4270896888346553,11,0.33557046979865773,0.2857142857142857,0.3636363636363636,0.8514285714285714,68997,0.67,0.3196324951644101,86.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,65053,0.66,0.3333333333333332,144.0,7,5.691350929102136,0.25366433172940545,193.73684210526315,2
2,71244,70534,10,0.3050640634533252,12,0.36607687614399026,17,0.5186089078706528,0.8333333333333333,0.5882352941176471,1.6068627450980393,71244,13.5,0.09939959973315547,27.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,70534,7.0,0.12390488110137675,35.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
3,70190,70339,6,0.18303843807199513,9,0.2745576571079927,14,0.4270896888346553,0.6666666666666667,0.42857142857142855,1.5609523809523809,70190,20.0,0.0471653168175321,21.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,70339,7.6999999999999975,0.10555383671851032,25.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
4,70505,70566,11,0.33557046979865773,13,0.39658328248932273,19,0.5796217205613179,0.8461538461538463,0.5789473684210527,1.459838056680162,70505,2.079999999999999,0.3043478260869565,27.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,70566,11.089999999999998,0.0750625521267723,28.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
5,71299,71430,5,0.1525320317266626,12,0.36607687614399026,10,0.3050640634533252,0.41666666666666663,0.5,1.3658333333333332,71299,2.950000000000001,0.2606516290726814,83.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,71430,2.950000000000001,0.26065162907268163,34.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
6,70875,71488,4,0.12202562538133008,10,0.3050640634533252,10,0.3050640634533252,0.39999999999999997,0.39999999999999997,1.3112,70875,9.69,0.15983915449228436,54.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,71488,8.607058823529416,0.26286461345857043,23.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
7,70738,71464,6,0.18303843807199513,9,0.2745576571079927,17,0.5186089078706528,0.6666666666666667,0.35294117647058826,1.2854901960784313,70738,1.4435294117647055,0.2746083357966303,51.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71464,2.04,0.3177257525083609,61.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,2
8,71080,71464,4,0.12202562538133008,13,0.39658328248932273,17,0.5186089078706528,0.3076923076923077,0.23529411764705882,0.5933031674208145,71080,2.25,0.2362795712341366,37.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71464,2.04,0.3177257525083609,61.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,2
9,69371,71464,4,0.12202562538133008,15,0.4575960951799878,17,0.5186089078706528,0.26666666666666666,0.23529411764705882,0.5141960784313725,69371,2.04,0.3139212492695601,35.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71464,2.04,0.3177257525083609,61.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,2
10,71192,72717,8,0.24405125076266015,19,0.5796217205613179,11,0.33557046979865773,0.42105263157894735,0.7272727272727272,1.2547368421052632,71192,0.75,0.23262237092024315,208.0,7,5.691350929102136,0.25366433172940545,193.73684210526315,72717,3.0,0.24812030075187966,26.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
11,71192,71598,11,0.33557046979865773,19,0.5796217205613179,199,6.070774862721171,0.5789473684210527,0.05527638190954774,0.09536630521026185,71192,0.75,0.23262237092024315,208.0,7,5.691350929102136,0.25366433172940545,193.73684210526315,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
12,62778,71598,6,0.18303843807199513,15,0.4575960951799878,199,6.070774862721171,0.4,0.030150753768844223,0.06588944723618091,62778,7.700000000000002,0.011553273427471096,25.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
13,69624,71598,17,0.5186089078706528,19,0.5796217205613179,199,6.070774862721171,0.8947368421052632,0.08542713567839197,0.14738428987040467,69624,12.0,0.197358163869546,20.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
14,71288,71598,16,0.4881025015253203,126,3.8438071995118976,199,6.070774862721171,0.12698412698412698,0.08040201005025126,0.020917284836882828,71288,0.3789502762430924,0.6203983716196584,265.0,7,5.691350929102136,0.25366433172940545,193.73684210526315,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
15,71394,71598,43,1.3117754728492983,133,4.057352043929225,199,6.070774862721171,0.3233082706766917,0.21608040201005024,0.053256508104431936,71394,0.7599999999999979,0.22924733161996305,776.0,5,0.7599999999999979,0.22924733161996305,776.0,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
16,71320,71598,14,0.4270896888346553,19,0.5796217205613179,199,6.070774862721171,0.736842105263158,0.07035175879396986,0.12137529754033327,71320,0.823333333333333,0.29474593575748065,77.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
17,72717,71598,8,0.24405125076266015,11,0.33557046979865773,199,6.070774862721171,0.7272727272727272,0.04020100502512563,0.11979899497487438,72717,3.0,0.24812030075187966,26.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
18,71268,71598,7,0.21354484441732766,18,0.5491153142159854,199,6.070774862721171,0.3888888888888889,0.03517587939698493,0.06405918481295367,71268,7.29,0.2673127857532493,27.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
19,64341,71598,4,0.12202562538133008,13,0.39658328248932273,199,6.070774862721171,0.3076923076923077,0.020100502512562814,0.05068419018167762,64341,2.04,0.2088865869353673,32.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
20,71503,71598,4,0.12202562538133008,23,0.7016473459426479,199,6.070774862721171,0.1739130434782609,0.020100502512562814,0.028647585754861263,71503,8.5,0.2882574397278874,53.0,2,9.638642786355355,0.1767659444286998,76.45238095238095,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
21,71078,71598,4,0.12202562538133008,27,0.823672971323978,199,6.070774862721171,0.14814814814814817,0.020100502512562814,0.0244034989763633,71078,6.860000000000008,0.138719527622691,52.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71598,0.6899999999999982,0.2966553516804294,1212.0,1,0.6899999999999982,0.2966553516804294,1212.0,2
22,69396,70931,5,0.1525320317266626,11,0.33557046979865773,12,0.36607687614399026,0.45454545454545453,0.41666666666666663,1.2416666666666665,69396,2.29,0.4534606205250596,17.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,70931,18.0,0.05213270142180087,37.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
23,69396,71405,5,0.1525320317266626,11,0.33557046979865773,27,0.823672971323978,0.45454545454545453,0.1851851851851852,0.5518518518518519,69396,2.29,0.4534606205250596,17.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,71405,25.090000000000003,0.034628703347441274,45.0,4,9.474369504276105,0.16956698420216512,29.044025157232703,2
